block_id,local_theme_name,cluster_count,review_count_sum,member_centers,spot_check,notes
block-017,Tray Size,1,11,tray size,,
block-017,Cube Size Growth,1,10,cube size growth,,
block-017,Customization,1,10,customization,,
block-017,Ice Cube Separation,1,10,ice cube separation,,
block-017,Ice melting speed,1,10,melting rate,,
block-018,Ease of use,11,5111,ease of use | usability,,
block-018,Installation,21,1721,ease of installation | installation,,
block-018,Ease Of Setup,1,1073,ease of setup,,
block-018,Installation Ease,4,636,installation ease,,
block-018,Convenience / utility,9,504,convenience | utility,,
block-018,Installation time,7,461,installation time,,
block-018,Portability,5,286,portability,,
block-018,Instructions,4,86,instructions,,
block-018,Ease Of Filling,1,78,ease of filling,,
block-018,Ease Of Operation,3,70,ease of operation,,
block-018,Ease Of Replacement,3,64,ease of replacement,,
block-018,Ease_Of_Use,4,50,ease_of_use,,
block-018,Setup,2,47,setup,,
block-018,Installation Difficulty,1,45,installation difficulty,,
block-018,Setup time,3,41,setup time,,
block-018,Operation Ease,1,37,operation ease,,
block-018,Assembly,1,36,assembly,,
block-018,Functionality,3,36,operation,,
block-018,Versatility,2,27,versatility,,
block-018,Simplicity,2,26,simplicity,,
block-018,Setup Complexity,2,24,setup complexity,,
block-018,Operation Simplicity,1,20,operation simplicity,,
block-018,Fun Factor,1,17,fun factor,,
block-018,Necessity,1,15,necessity,,
block-018,Drainage,1,14,drain plug removal,,
block-018,Helpfulness,1,14,helpfulness,,
block-018,Controls,1,13,controls,,
block-018,Ice texture / chewability,1,13,chewability,,
block-018,Mobility,1,13,mobility,,
block-018,Accessibility,1,12,accessibility,,
block-018,Directions,1,12,directions,,
block-018,Ease Of Assembly,1,12,ease of assembly,,
block-018,Ease_Of_Installation,1,12,ease_of_installation,,
block-018,Instructions Clarity,1,12,instructions clarity,,
block-018,Setup Speed,1,12,setup speed,,
block-018,Installation Speed,1,10,installation speed,,
block-018,Installation_Time,1,10,installation_time,,
block-019,Durability,37,5009,durability | longevity,,
block-019,Reliability,28,4270,reliability,,
block-019,Lifespan,4,100,lifespan,,
block-019,Insulation,1,72,insulation,,
block-019,Overheating,1,54,overheating,,
block-019,Motor Reliability,1,40,motor reliability,,
block-019,Replacement Quality,1,36,replacement quality,,
block-019,Suitability,2,28,suitability,,
block-019,Expected Lifespan,2,23,expected lifespan,,
block-019,Ice quality,1,19,quality,,
block-019,Ice cube durability,1,18,cube durability,,
block-019,Sensor Reliability,1,18,sensor reliability,,
block-019,Fan Reliability,1,14,fan reliability,,
block-019,Product Lifespan,1,11,product lifespan,,
block-019,Functionality,1,10,functionality,,
block-019,Leakage,1,10,leaking,,
block-020,Ice production speed,40,1159,filling speed | production rate | production speed | production time,,
block-020,Ice production capacity,7,98,production capacity,,
block-020,Speed,2,55,speed,,
block-020,Overall performance,2,41,performance,,
block-020,Fill Time,2,37,fill time,,
block-020,Quantity,1,35,quantity,,
block-020,Production Volume,2,34,production volume,,
block-020,Capacity,2,21,capacity,,
block-020,Filling Time,1,17,filling time,,
block-020,Continuous Production,1,13,continuous production,,
block-020,Cube Production Capacity,1,13,cube production capacity,,
block-020,Cycle Time,1,12,cycle time,,
block-020,Heat Generation,1,12,heat generation,,
block-020,Cube Production Speed,1,10,cube production speed,,
block-021,Speed,29,1621,speed,,
block-021,Freezing speed,3,35,freezing speed,,
block-021,Ice melting speed,2,27,melting speed,,
block-021,Overall performance,2,23,performance,,
block-021,Coolness,1,20,coolness,,
block-021,Refill Speed,1,16,refill speed,,
block-021,Cycle Time,1,14,cycle time,,
block-021,Chilling Speed,1,11,chilling speed,,
block-021,Cooling Time,1,10,cooling time,,
block-021,Operation Smoothness,1,10,operation smoothness,,
block-022,Overall performance,44,668,performance,,
block-022,Effectiveness,1,30,effectiveness,,
block-022,Initial Performance,1,30,initial performance,,
block-022,Consistency,1,23,consistency,,
block-022,Cooling performance,1,18,cooling performance,,
block-022,Ice quality,1,16,overall quality,,
block-022,Freezing performance,1,15,freezing performance,,
block-022,Popularity,1,11,popularity,,
block-022,Accuracy,1,10,accuracy,,
block-022,Demand Handling,1,10,demand handling,,
block-022,Display accuracy,1,10,display accuracy,,
block-022,Product Performance,1,10,product performance,,
block-023,Machine size,33,2015,size,,
block-023,Counter Space,2,288,counter space,,
block-023,Fit,7,274,fit | fitment,,
block-023,Weight,5,260,weight,,
block-023,Space Efficiency,1,216,space efficiency,,
block-023,Capacity,5,214,capacity,,
block-023,Space Footprint,4,121,space footprint,,
block-023,Footprint,4,74,footprint,,
block-023,Ice production capacity,3,57,basket capacity,,
block-023,Ice cube size options,1,37,size options,,
block-023,Machine Size,2,31,machine size,,
block-023,Fitting,2,30,fitting,,
block-023,Product Fit,1,27,product fit,,
block-023,Bin Capacity,1,26,bin capacity,,
block-023,Size Suitability,2,26,size suitability,,
block-023,Basket Size,1,24,basket size,,
block-023,Scoop Storage,1,23,scoop storage,,
block-023,Height/Fitment,1,22,height/fitment,,
block-023,Ice cube shape,2,20,shape,,
block-023,Ice storage capacity,1,15,storage capacity,,
block-023,Space Requirement,1,13,space requirement,,
block-023,Bin Capacity Maintenance,1,12,bin capacity maintenance,,
block-023,Accessory,1,11,accessory,,
block-023,Design,1,11,design,,
block-023,Height,1,11,height,,
block-023,Size Selection,1,11,size selection,,
block-023,Compactness,1,10,compactness,,
block-023,Counter Height Clearance,1,10,counter height clearance,,
block-023,Portability Size,1,10,portability size,,
